ticker,parent_name,utility_name,utility_id_eia,utility_id_ferc1_dbf,utility_id_irp,entity_type_eia,utility_type_rmi,public_private_unmapped,ferc_irp_data_available,has_ferc_data,has_irp_data,gross_profit,gross_profit_fraction_of_parent,net_generation_owned_2005,net_generation_owned_2021,emissions_co2_owned_2005,emissions_co2_owned_2021,net_generation_delivered_2005,net_generation_delivered_2021,emissions_co2_delivered_2005,emissions_co2_delivered_2021,emissions_co2_1point5c,emissions_co2_historical,emissions_co2_target_all_years,emissions_co2_irp,emissions_co2_1point5c_remaining,emissions_co2_irp_above_1point5c,emissions_co2_irp_above_1point5c_social_cost
CNP,"CenterPoint Energy, Inc.","Centerpoint Energy Houston Electric, LLC",8901,68,8901,Investor Owned,Wires Only,public,FERC,True,False,1454221040.0,0.25634074387449324,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNP,"CenterPoint Energy, Inc.",Southern Indiana Gas & Electric Co.,17633,163,17633,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,307076958.0,0.05412955367530407,7.148819192261589,5.858030002251641,6.908250197473679,5.819550976092122,5.692900003417372,4.894229509702116,5.114337162491167,4.614950455056544,89.41047197175273,87.97099220372033,31.386880249814713,27.52053299567526,1.439479768032399,26.081053227642858,1394923555.663901
,Chugach Electric Assn Inc,"Chugach Electric Association, Inc.",3522,202,3522,Cooperative,Cooperative,private,FERC,True,False,165548407.0,,2.312756403,1.573238,1.2610234553021564,0.6266022612110561,1.3363299231418595,1.906439375506498,0.6504391514328726,0.7536889303827414,12.15094349115104,9.663663574566392,10.55164502535838,11.165486518824373,2.4872799165846473,8.678206602239728,365976538.1363153
,Citizens Energy Corp.,Citizens Sunrise Transmission LLC.,,321,,,Wires Only,private,FERC,True,False,5454711.0,,,,,,,,,,,,,,,,
,Citizens Energy Corp.,Missing Respondent 528,,528,,,Wires Only,private,FERC,True,False,1761994.0,,,,,,,,,,,,,,,,
,City of Calgary,Emera Maine,1179,11,1179,Investor Owned,Restructured,private,FERC,True,False,141489399.0,,0.000826999,,0.0006780025102800558,,0.30099365625709884,1.2430530965141013,0.10776479921312333,0.1915441999402061,5.43330293233241,2.848852996708891,2.6816187991628855,2.153671335768154,2.584449935623519,-0.43077859985536493,-33725291.61856536
,Cleco Corp.,Cleco Power LLC,3265,22,3265,Investor Owned,Vertically Integrated,private,FERC & IRP,True,True,495256634.0,,5.024050306278028,10.988616004572767,4.8130632737349455,7.123662712149013,9.078728223808385,8.293636602629794,6.882341687424802,5.354027755413416,123.30983117416842,115.37358864508043,74.95638857578783,50.54781265025434,7.936242529087991,42.61157012116636,2072714610.4047785
ED,"Consolidated Edison, Inc.","Consolidated Edison Co. Of New York, Inc.",4226,36,4226,Investor Owned,Restructured,public,FERC,True,False,5494078794.0,0.5514482378801566,2.2616799970000003,3.182936,1.4721923284266931,1.356823025390043,31.664305407286797,33.74952701373697,9.216010127676611,10.774186776610568,151.42876536708602,108.26647774658312,91.29705637022639,124.51983210288508,43.162287620502894,81.35754448238218,3181504478.595218
ED,"Consolidated Edison, Inc.","Orange & Rockland Utilities, Inc",14154,131,14154,Investor Owned,Wires Only,public,FERC,True,False,241494484.0,0.02423913319281341,,0.0,,0.0,2.867018970317306,2.488164948712237,1.0541967407661692,0.7515071922629416,16.044567938987715,9.725862975234165,6.368034629175453,8.45864183869633,6.31870496375355,2.13993687494278,28660050.283721086
ED,"Consolidated Edison, Inc.",Rockland Electric Co.,16213,152,16213,Investor Owned,Wires Only,public,FERC,True,False,40357749.0,0.004050762722071665,,,,,1.6633020481282454,1.161704444221982,0.6115926040951268,0.37705475556300483,8.545869635165595,7.402323509215972,3.1950429287180935,4.243964661790919,1.143546125949623,3.1004185358412957,134491636.80672905
,Consolidated Water Power Co,Consolidated Water Power Co.,4247,40,4247,Investor Owned,Vertically Integrated,private,FERC,True,False,7357509.0,,0.138518001,0.1842291,0.0,0.0,1.795358890715155,0.7993002442180998,1.3133119436336975,0.3109271576300183,16.420855029879466,14.554775232463555,4.3529802068202565,3.6401658788570406,1.8660797974159102,1.7740860814411323,84746321.05926245
,Cube Hydro Partners,Alcoa Power Generating Inc.,317,171,317,Independent Power Producer,Independent Power Producer,private,FERC,True,False,63529750.0,,0.804965003,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"DQE Holdings, LLC",Duquesne Light Co.,5487,46,5487,Investor Owned,Wires Only,private,FERC,True,False,597605980.0,,,,,,7.343525443602826,5.493119163494783,4.3443158092154395,2.300492309920786,64.29307881187066,46.123410935439544,32.20689233889101,25.893342873895076,18.169667876431113,7.7236749974639665,239386812.66977957
DTE,DTE Energy,DTE Electric Co.,5109,44,5109,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,3202856151.0,0.5735773909383954,46.5714851679,38.4695894210807,36.64974142908467,25.801158635264795,45.03501514024759,42.318761216069326,34.95567721162917,26.569969831520876,728.8482705616015,580.8351106163697,205.03012871714648,278.0379813176896,148.0131599452318,130.02482137245778,6057307257.514252
