ticker,year,net_generation_mwh,net_generation_mwh_1point5c,emissions_co2_historical,emissions_co2_irp,emissions_co2_target_all_years,emissions_co2_1point5c
MDU,2024,3310644.4260895625,3377041.202153173,,1.7544155557613388,2.277667182863613,1.7648974944617646
MDU,2025,3341163.7223954266,3457558.3501846744,,1.736160776336721,2.277667182863613,1.571695806738284
MDU,2026,3371976.668114802,3579019.6208970957,,1.7178768344387216,2.277667182863613,1.3996616300314586
MDU,2027,3403073.150941928,3755585.0293176034,,1.6992648469347638,2.277667182863613,1.2433784588490011
MDU,2028,3434469.0963416104,4003154.1640224247,,1.6811225262940628,2.277667182863613,1.0992182720905603
MDU,2029,3466127.207185234,4336676.348794956,,1.6612606425133756,2.277667182863613,0.9649486818526675
MDU,2030,3498090.0806946903,4765155.228225983,,1.6419610615099285,2.277667182863613,0.8394674173167254
MDU,2031,3530347.091944744,5284962.007335903,,1.6225191719927972,2.277667182863613,0.7225294730865697
MDU,2032,3562914.873571352,5874265.396622834,,1.60402052708258,2.277667182863613,0.6144375913703186
MDU,2033,3595754.398721897,6493094.158432089,,1.5833576140933543,2.277667182863613,0.5157341125372541
MDU,2034,3628910.192497441,7091825.987252485,,1.563705342523757,2.277667182863613,0.42694401714796826
MDU,2035,3662371.1209734464,7625187.365111123,,1.5440459206712374,2.277667182863613,0.3483980228938643
MDU,2036,3696154.527610574,8064114.902974001,,1.5256843359666092,2.277667182863613,0.28013885919049186
MDU,2037,3730219.6595194302,8399519.146247014,,1.5048126609667882,2.277667182863613,0.22189740510250355
MDU,2038,3764612.973401468,8638256.184181293,,1.4852868409434907,2.277667182863613,0.17311923350002925
MDU,2039,3799330.774691442,8795860.64586701,,1.465850191446969,2.277667182863613,0.13302232467783268
MDU,2040,3834383.220393863,8890193.837632878,,1.4479721965603825,2.277667182863613,0.10066953390673195
MDU,2041,3869664.1479868656,8937627.899788054,,1.4273192266108705,2.277667182863613,0.07504309166803026
MDU,2042,3905285.637053417,8951493.932598354,,1.40825813349062,2.277667182863613,0.05511209303668459
MDU,2043,3941235.503545288,8941909.643430835,,1.3893528778320925,2.277667182863613,0.03988744804434088
MDU,2044,3977531.9581677476,8916226.54929386,,1.3721934082869431,2.277667182863613,0.028461794826654497
MDU,2045,4014132.505326906,8879642.431288714,,1.3520602199235792,2.277667182863613,0.02003431260301712
MDU,2046,4051085.778899568,8835769.865211371,,1.3336948208000579,2.277667182863613,0.013922081177290416
MDU,2047,4088379.706980249,8787092.54154767,,1.3155294385301057,2.277667182863613,0.009560591179343934
MDU,2048,4126032.613450758,8735305.83615936,,1.2992392851013128,2.277667182863613,0.006496443303828263
MDU,2049,4164002.116937062,8681561.239681935,,1.2798306055929847,2.277667182863613,0.00437511079640525
MDU,2050,4202336.9665887635,8626637.760972084,,1.2623107222993917,2.277667182863613,0.002926283262557929
MGEE,2005,3385479.63652115,3385479.63652115,2.906742218603971,,,2.906742218603971
MGEE,2006,3356464.174362224,3356464.174362224,2.845345965230802,,,2.7985024435741717
MGEE,2007,3367152.083395761,3367152.083395761,2.7820120877415127,,,2.849082512121955
MGEE,2008,3434832.28096729,3434832.28096729,2.7141829896500203,,,2.8989613118281166
MGEE,2009,3372169.3817169964,3372169.3817169964,2.5524971316184955,,,2.7262660674806822
MGEE,2010,3314757.114711062,3314757.114711062,2.5890346192614553,,,2.7298624062465064
MGEE,2011,3711709.7972230255,3711709.7972230255,2.3755035525455486,,,2.948585623474713
MGEE,2012,3970780.06592622,3970780.06592622,2.537851054435296,,,3.03532261458728
MGEE,2013,3168088.3968419717,3168088.3968419717,2.451155822146071,,,2.4457748099241154
MGEE,2014,2889558.7833314906,2889558.7833314906,2.074853920173717,,,2.2277754430706094
MGEE,2015,3407714.9671707987,3407714.9671707987,2.504564351555137,,,2.4621825539478923
MGEE,2016,3398645.7459134497,3398645.7459134497,2.5807097244080377,,,2.3476774047449
MGEE,2017,3445963.3777010306,3445963.3777010306,2.4642363729569867,,,2.325797307348472
MGEE,2018,2393124.7260655477,2393124.7260655477,1.508502702968873,,,1.5834265907967795
MGEE,2019,2275665.808282663,2275665.808282663,1.7448973830572256,,,1.4018942362309377
MGEE,2020,3196967.2285184693,3196967.2285184693,2.0747635267174163,,,1.8259035939757797
MGEE,2021,3188999.5536155794,3188999.5536155794,2.1070987206558396,,,1.8868819073638379
MGEE,2022,3188999.5536155794,3258422.4502376383,,2.3528977711032306,1.9329405318325426,1.6520962690477987
MGEE,2023,3188999.55361558,3290328.4475419903,,2.334462477002105,1.758782343009246,1.4592061317731793
MGEE,2024,3188999.55361558,3340879.909935005,,2.3180344211543202,1.584624154185949,1.2959721672863072
MGEE,2025,3188999.5536155794,3420534.88189454,,2.2963091319039814,1.4104659653626523,1.154103299123666
MGEE,2026,3188999.55361558,3540695.5476570954,,2.276709082954793,1.2363077765393555,1.0277778294951578
MGEE,2027,3188999.55361558,3715370.297081366,,2.2568313323523244,1.0621495877160587,0.9130183940586689
MGEE,2028,3188999.55361558,3960288.4662550143,,2.2396027775780207,0.8879913988927621,0.8071609206042618
MGEE,2029,3188999.55361558,4290239.301889989,,2.2164320238651882,0.7138332100694652,0.7085661566549178
MGEE,2030,3188999.55361558,4714130.03772403,,2.1959959148217956,0.5396750212461683,0.6164246997914047
MGEE,2031,3188999.5536155794,5228370.735844357,,2.175453496865222,0.51269127018386,0.5305566414494794
MGEE,2032,3188999.55361558,5811363.875777037,,2.1580279362805217,0.4857075191215515,0.45118428659405707
MGEE,2033,3188999.55361558,6423566.231111144,,2.1341853241754496,0.4587237680592431,0.3787058781973161
MGEE,2034,3188999.5536155794,7015886.8510281695,,2.113520427478802,0.43174001699693476,0.31350691184584356
MGEE,2035,3188999.55361558,7543537.005514604,,2.0928713179978287,0.40475626593462627,0.2558302350277417
MGEE,2036,3188999.5536155794,7977764.5157470405,,2.0756710627441852,0.37777251487231783,0.2057072241450114
MGEE,2037,3188999.5536155794,8309577.256836286,,2.0517156237215577,0.35078876381000945,0.1629402624845356
MGEE,2038,3188999.55361558,8545757.90316168,,2.0312514193749127,0.323805012747701,0.127122231711479
MGEE,2039,3188999.5536155794,8701674.739303986,,2.010888054139579,0.2968212616853926,0.09767889123938489
MGEE,2040,3188999.5536155794,8794997.813067403,,1.9942003019148846,0.26983751062308414,0.07392209147908461
MGEE,2041,3188999.5536155794,8841923.952197654,,1.9705287554777808,0.24285375956077576,0.0551044796958825
MGEE,2042,3188999.5536155794,8855641.507795405,,1.9505614060519183,0.21587000849846738,0.04046905776713032
MGEE,2043,3188999.55361558,8846159.847011888,,1.9307522858789814,0.18888625743615892,0.02928953248092693
MGEE,2044,3188999.55361558,8820751.76695279,,1.9147642465143884,0.1619025063738505,0.02089962393969319
MGEE,2045,3188999.5536155794,8784559.390979363,,1.891651177470625,0.13491875531154207,0.014711285842774462
MGEE,2046,3188999.5536155794,8741156.611495465,,1.8723775506080893,0.10793500424923366,0.01022304681891532
MGEE,2047,3188999.55361558,8693000.523676997,,1.8532990447376276,0.08095125318692523,0.007020385098915519
MGEE,2048,3188999.55361558,8641768.349333607,,1.8381246272100353,0.05396750212461682,0.004770367533828083
MGEE,2049,3188999.5536155794,8588599.248961214,,1.8157532944926928,0.02698375106230837,0.003212663533563575
MGEE,2050,3188999.55361558,8534263.889804656,,1.797296907964403,0.0,0.002148782959787359
NEE,2005,124237515.99657519,124237515.99657519,50.306295495351954,,,50.306295495351954
NEE,2006,127007961.34510219,127007961.34510219,49.14424824467873,,,49.941074806646505
NEE,2007,128491879.71234477,128491879.71234477,49.91949898885935,,,51.27447735781787
NEE,2008,130308102.36922324,130308102.36922324,47.57492515800241,,,51.867052592195854
NEE,2009,124851806.8807648,124851806.8807648,48.52479496855662,,,47.603288410363305
NEE,2010,130599360.07203014,130599360.07203014,52.96191135788144,,,50.723984431831646
NEE,2011,125192477.52320705,125192477.52320705,50.02327393672122,,,46.90306566398703
NEE,2012,120406331.16359562,120406331.16359562,45.9550887542851,,,43.40718411029647
NEE,2013,118042690.22890252,118042690.22890252,42.75014809979546,,,42.97753877157743
NEE,2014,119515525.71774445,119515525.71774445,52.51341300598004,,,43.45577203184531
NEE,2015,125833019.14970264,125833019.14970264,47.97472601156765,,,42.87803458210509
NEE,2016,123008160.55536367,123008160.55536367,42.7704732627953,,,40.072802029160826
NEE,2017,121998600.23089181,121998600.23089181,42.97398462597807,,,38.83285479409529
NEE,2018,124308390.24381492,124308390.24381492,41.475983796035536,,,38.78968990178923
NEE,2019,126628265.6222812,126628265.6222812,40.14849584888428,,,36.789229290200716
NEE,2020,130511350.21682921,130511350.21682921,39.42898420728272,,,35.153713349493124
NEE,2021,126093686.6513732,126093686.6513732,38.6319187299389,,,35.18575461699735
NEE,2022,127150922.9838347,128838682.00992312,,37.7312133520632,32.39017771079568,30.807573966081673
NEE,2023,128584222.0993317,130100251.5895843,,37.45304045643279,26.26188095702758,27.210642429615884
NEE,2024,130038602.19025554,132099066.62595727,,35.875687614298364,20.13358420325947,24.1667263280412
NEE,2025,131490686.15112355,135248640.31062648,,35.46176789708766,14.005287449491364,21.52121726704446
NEE,2026,132970920.75588979,139999817.311986,,35.599436879050224,12.980527561689469,19.1655547537314
NEE,2027,134468268.4208262,146906492.19528583,,35.74301109533354,11.955767673887573,17.02557062462668
NEE,2028,135989984.27278143,156590606.0873672,,35.379768972950906,10.93100778608568,15.051586417768805
NEE,2029,137526221.37623662,169636928.79122123,,35.39624365367006,9.906247898283784,13.213034064649307
NEE,2030,139083822.8866577,186397654.12844425,,35.38440727948706,8.88148801048189,11.494820180357145
NEE,2031,140658134.87959757,206730835.22865847,,35.3767171197537,8.455300251741654,9.893589908093793
NEE,2032,142206335.29610384,229782501.76878905,,35.897458033061994,8.029112493001419,8.413488694331074
NEE,2033,143767951.68504,253989106.58728474,,36.51017297033106,7.602924734261183,7.061942801116621
NEE,2034,145348671.32935202,277409583.57050854,,37.08631043612284,7.176736975520948,5.846140782785844
NEE,2035,146946852.13941628,298272977.28466815,,37.66881334375054,6.750549216780712,4.7706111538644125
NEE,2036,148564519.86142322,315442420.77003247,,38.21487824442483,6.141040971961372,3.8359390078747446
NEE,2037,150196370.91529673,328562363.59172535,,38.853197346111294,5.531532727142034,3.0384392741461115
NEE,2038,151848101.06049553,337900994.0650688,,39.45522132499448,4.922024482322694,2.3705201867213064
NEE,2039,153518076.7775432,344065977.2673748,,40.063896531162634,4.312516237503354,1.8214735564511664
NEE,2040,155208332.4774462,347755990.4588554,,40.63642240863027,3.7030079926840154,1.3784670685576528
NEE,2041,156913573.34065902,349611459.480963,,41.301495174699866,3.172555030430907,1.0275644137080424
NEE,2042,158639503.98394257,350153854.40077555,,41.93056792720908,2.642102068177799,0.7546494195626247
NEE,2043,160384499.84296355,349778947.61773264,,42.56659055522304,2.1116491059246907,0.5461784856267363
NEE,2044,162150604.38279304,348774306.9987797,,43.166765568871135,1.5811961436715822,0.3897271136363547
NEE,2045,163932531.93796432,347343253.14052874,,43.85979324098451,1.050743181418474,0.27432967147771686
NEE,2046,165735996.38043633,345627098.4706931,,44.51712933193412,1.050743181418474,0.19063493873391077
NEE,2047,167559382.50330973,343722997.0289562,,45.18172738355519,1.050743181418474,0.1309130934178993
NEE,2048,169404743.2324551,341697266.5045352,,45.81079314747933,1.050743181418474,0.08895574271135366
NEE,2049,171266802.46771222,339594949.53359336,,46.53303101804292,1.050743181418474,0.05990835479305207
NEE,2050,173151283.7520083,337446518.4546962,,47.21989965241775,1.050743181418474,0.04006957173800728
NGG,2005,24482148.309798546,24482148.309798546,2.6837882671121043,,,2.6837882671121043
NGG,2006,17627706.6105693,17627706.6105693,1.4303973094337554,,,1.8902475856123262
NGG,2007,17601654.107106086,17601654.107106086,1.7369056006470494,,,1.915240976922636
NGG,2008,16714480.581334133,16714480.581334133,1.3805383286509763,,,1.8173896307291924
NGG,2009,15810436.96346044,15810436.96346044,1.447024815017085,,,1.6492550205576526
NGG,2010,16691903.62435754,16691903.62435754,2.3434090274777684,,,1.7699708893765151
NGG,2011,15755379.472679459,15755379.472679459,2.0543082737596525,,,1.6145902227373627
NGG,2012,15455886.965685025,15455886.965685025,2.9503105663412557,,,1.5245117199586056
NGG,2013,15542033.479555478,15542033.479555478,2.788525024734527,,,1.5505475774466824
NGG,2014,15666954.70058072,15666954.70058072,2.9991146161562323,,,1.5697999225865586
NGG,2015,15710250.821013859,15710250.821013859,2.974554027702403,,,1.4711098971617087
NGG,2016,16344056.450958477,16344056.450958477,3.279490440502415,,,1.4580184420849054
NGG,2017,16641469.24097771,16641469.24097771,2.3236987570525467,,,1.411480048184589
