ticker,date,year,market_cap,gross_profit_electric,gross_profit,gross_profit_non_electric,gross_profit_electric_fraction,emissions_co2_historical,emissions_co2_irp,emissions_co2_irp_future,emissions_co2_target,emissions_co2_target_future,emissions_co2_1point5c,emissions_co2_1point5c_historical,emissions_co2_1point5c_future,emissions_co2_historical_social_cost,emissions_co2_irp_social_cost,emissions_co2_irp_social_cost_future,emissions_co2_target_social_cost,emissions_co2_1point5c_social_cost,emissions_co2_1point5c_historical_social_cost,emissions_co2_1point5c_future_social_cost,emissions_co2_irp_above_1point5c,emissions_co2_irp_above_1point5c_historical,emissions_co2_irp_above_1point5c_future,market_cap_electric,market_cap_non_electric,carbon_adjustment_historical,carbon_adjustment_future,carbon_adjustment,index_value,market_cap_total,market_cap_electric_total,index_value_total,market_cap_weighting,market_cap_electric_weighting,index_weighting,performance
LNT,,2008.0,,761499200.0,1793800000.0,1032300800.0,0.42451733749581894,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
LNT,,2009.0,,727991265.0,1851100000.0,1123108735.0,0.3932749527308087,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
LNT,,2010.0,,915743665.5,1681500000.0,765756334.5,0.5445992658340767,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
LNT,,2011.0,,891470568.0,1733700000.0,842229432.0,0.5142011697525524,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
LNT,,2012.0,,899149608.0,1580700000.0,681550392.0,0.5688300170810401,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
LNT,,2013.0,,953932067.0,1552200000.0,598267933.0,0.6145677535111455,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
LNT,,2014.0,,977439690.5,1640000000.0,662560309.5,0.5959998112804878,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
LNT,,2015.0,,1051334663.0,1697800000.0,646465337.0,0.619233515726234,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
LNT,,2016.0,,1106280025.0,1711500000.0,605219975.0,0.6463803827052294,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
LNT,,2017.0,,1186206410.5,1743800000.0,557593589.5,0.6802422356348206,286.8200455924923,400.0162399826329,113.19619439014062,392.7916889910952,105.97164339860292,382.86279709545227,306.67315551151387,76.1896415839384,19084060514.46685,23777280512.104958,4693219997.638107,23504688842.05702,23592100418.12287,20231439318.836903,3360661099.2859693,17.15344288718063,-19.853109919021563,37.00655280620222,,,-1147378804.3700523,1332558898.352138,185180093.98208618,,,,,,,,1.0
