year,utility_id_irp,target_type,net_generation_mwh,net_generation_mwh_1point5c,emissions_co2_historical,emissions_co2_irp,emissions_co2_1point5c,emissions_co2_target,emissions_co2_target_all_years,ticker,parent_name,fraction_owned_utility,utility_name_irp
2021,18454,Utility/Parent,20877330.688951932,20877330.688951932,8.92165365227914,,9.126382049161641,0.0,,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2022,18454,Utility/Parent,21073918.28208818,21331819.548481688,,8.683389897820321,7.990781868479385,0.0,8.472902353767783,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2023,18454,Utility/Parent,21272357.006595142,21540697.613681965,,8.465732496611103,7.057819885319105,0.0,8.024151055256423,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2024,18454,Utility/Parent,21472664.29331521,21871641.40324522,,8.534530224018571,6.268297489936246,0.0,7.575399756745065,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2025,18454,Utility/Parent,21674857.737225134,22393116.29299018,,8.52695298667177,5.582112791953051,6.215045543015778,7.126648458233707,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2026,18454,Utility/Parent,21878955.09898156,23179768.63105191,,8.461357954627712,4.971107676121378,0.0,6.919480273466514,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2027,18454,Utility/Parent,22084974.306481153,24323306.736162573,,8.48688692311357,4.416044612846404,0.0,6.7123120886993215,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2028,18454,Utility/Parent,22292933.456435345,25926705.395711996,,8.512846674013863,3.9040381424183543,0.0,6.505143903932129,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2029,18454,Utility/Parent,22502850.815959968,28086784.941297837,,8.540734590390501,3.427159605220576,0.0,6.2979757191649375,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2030,18454,Utility/Parent,22714744.824179832,30861858.101141006,,8.573074453083494,2.9814941215350514,0.0,6.090807534397745,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
2031,18454,Utility/Parent,22928634.093848426,34228422.73304993,,8.603662926293676,2.5661715180431526,0.0,5.883639349630552,EMRAF,"Emera, Inc.",1.0,Tampa Electric Co.
